Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
8/8/20,Alabama,US,8/9/20 4:35,32.3182,-86.9023,100173,1755,37923,60495,1,2043.018976,749502,11537,1.751969093,84000001,USA,15286.02327,11.51707546
8/8/20,Alaska,US,8/9/20 4:35,61.3707,-152.4044,3613,26,1254,2333,2,493.8862271,273593,,0.719623582,84000002,USA,37399.33975,
8/8/20,Arizona,US,8/9/20 4:35,33.7298,-111.4312,186107,4137,25163,156807,4,2556.865448,1016521,19244,2.222914775,84000004,USA,13965.66181,10.34028811
8/8/20,Virginia,US,8/9/20 4:35,37.7693,-78.17,99189,2322,12843,84024,51,1162.073449,1223028,14101,2.340985392,84000051,USA,14328.68933,14.21629415
8/8/20,Washington,US,8/9/20 4:35,47.4009,-121.4905,62523,1688,,60835,53,821.062095,1011694,5890,2.699806471,84000053,USA,13285.72837,9.420533244
8/8/20,West Virginia,US,8/9/20 4:35,38.4912,-80.9545,7563,131,5609,1823,54,422.0077929,317920,,1.732116885,84000054,USA,17739.61623,
8/8/20,Wisconsin,US,8/9/20 4:35,44.2685,-89.6165,59933,996,49283,9654,55,1029.346146,1051158,4980,1.661855739,84000055,USA,18053.58378,8.309278695
8/8/20,Wyoming,US,8/9/20 4:35,42.756,-107.3025,3015,28,2462,525,56,520.9422229,56638,177,0.928689884,84000056,USA,9786.111317,5.870646766
8/9/20,Alabama,US,8/10/20 4:35,32.3182,-86.9023,101334,1768,37923,61643,1,2066.697463,762451,11537,1.744725364,84000001,USA,15550.11691,11.38512247
8/9/20,Alaska,US,8/10/20 4:35,61.3707,-152.4044,3711,26,1269,2416,2,507.2825322,277919,,0.700619779,84000002,USA,37990.69093,
8/9/20,Arizona,US,8/10/20 4:35,33.7298,-111.4312,186923,4150,25527,157246,4,2568.076215,1022563,19268,2.220165523,84000004,USA,14048.67094,10.30798778
8/9/20,Virginia,US,8/10/20 4:35,37.7693,-78.17,100086,2326,12923,84837,51,1172.582476,1244258,14123,2.324001359,84000051,USA,14577.41468,14.11086466
8/9/20,Washington,US,8/10/20 4:35,47.4009,-121.4905,63072,1688,,61384,53,828.2716514,1012630,5896,2.676306443,84000053,USA,13298.02008,9.348046677
8/9/20,West Virginia,US,8/10/20 4:35,38.4912,-80.9545,7695,139,5678,1878,54,429.3732601,323072,,1.806367771,84000054,USA,18027.09264,
8/9/20,Wisconsin,US,8/10/20 4:35,44.2685,-89.6165,60554,998,50028,9528,55,1040.011789,1058577,5000,1.648115731,84000055,USA,18181.00471,8.257092843
8/9/20,Wyoming,US,8/10/20 4:35,42.756,-107.3025,3050,28,2465,557,56,526.9896451,56675,177,0.918032787,84000056,USA,9792.504307,5.803278689
8/10/20,Alabama,US,8/11/20 4:35,32.3182,-86.9023,103020,1797,37923,63300,1,2101.083275,780567,12070,1.744321491,84000001,USA,15919.59104,11.71617162
8/10/20,Alaska,US,8/11/20 4:35,61.3707,-152.4044,3774,26,1332,2416,2,515.8944426,280343,,0.688924218,84000002,USA,38322.04444,
8/10/20,Arizona,US,8/11/20 4:35,33.7298,-111.4312,187523,4154,25848,157521,4,2576.319426,1028231,19277,2.215194936,84000004,USA,14126.54181,10.27980568
8/10/20,Virginia,US,8/11/20 4:35,37.7693,-78.17,100749,2327,12961,85461,51,1180.350017,1261547,14212,2.309700344,84000051,USA,14779.96827,14.10634349
8/10/20,Washington,US,8/11/20 4:35,47.4009,-121.4905,63647,1697,,61950,53,835.8226439,1013179,6001,2.666268638,84000053,USA,13305.22963,9.42856694
8/10/20,West Virginia,US,8/11/20 4:35,38.4912,-80.9545,7757,141,5699,1917,54,432.8327978,327044,,1.817713033,84000054,USA,18248.72625,
8/10/20,Wisconsin,US,8/11/20 4:35,44.2685,-89.6165,61061,998,50662,9401,55,1048.719487,1066758,5031,1.634431143,84000055,USA,18321.51296,8.239301682
8/10/20,Wyoming,US,8/11/20 4:35,42.756,-107.3025,3042,28,2483,531,56,525.6073772,57682,179,0.920447074,84000056,USA,9966.497281,5.884286654
8/11/20,Alabama,US,8/12/20 4:30,32.3182,-86.9023,103851,1847,37923,64081,1,2118.031443,783689,12070,1.778509595,84000001,USA,15983.26394,11.62242058
8/11/20,Alaska,US,8/12/20 4:30,61.3707,-152.4044,3819,26,1344,2449,2,522.0458072,290744,,0.680806494,84000002,USA,39743.82984,
8/11/20,Arizona,US,8/12/20 4:30,33.7298,-111.4312,188737,4199,26102,158436,4,2592.998189,1037275,19292,2.224788992,84000004,USA,14250.79447,10.22163116
8/11/20,Virginia,US,8/12/20 4:30,37.7693,-78.17,101745,2344,13152,86249,51,1192.018904,1271545,14445,2.303798712,84000051,USA,14897.10233,14.19725785
8/11/20,Washington,US,8/12/20 4:30,47.4009,-121.4905,64151,1716,,62435,53,842.4412529,1013754,6049,2.674938816,84000053,USA,13312.78063,9.429315209
8/11/20,West Virginia,US,8/12/20 4:30,38.4912,-80.9545,7879,147,5863,1869,54,439.640275,330609,,1.865719,84000054,USA,18447.64966,
8/11/20,Wisconsin,US,8/12/20 4:30,44.2685,-89.6165,61785,1006,51456,9323,55,1061.15415,1080400,5092,1.628226916,84000055,USA,18555.8136,8.24148256
8/11/20,Wyoming,US,8/12/20 4:30,42.756,-107.3025,3073,29,2541,503,56,530.9636654,58852,183,0.943703222,84000056,USA,10168.65396,5.955092743
8/12/20,Alabama,US,8/13/20 4:30,32.3182,-86.9023,104786,1882,41523,61381,1,2137.10068,795771,12292,1.796041456,84000001,USA,16229.6752,11.7305747
